parent_gallery_name,parent_gallery_item_id,photo_set_name,photo_set_slug,photo_count,photo_names,photo_item_ids,source_values,grouping_source,grouping_confidence,is_singleton,warnings
Heavenly Host on Earth,6a679b386bb5de7ea717198a,Pair of Angel with Electric Lamps,pair-of-angel-with-electric-lamps,1,PAIR OF ANGEL WITH ELECTRIC LAMPS,6a679b7ccb07e5125504fd70,ngel-with-electric-lamps,CMS Name,high,true,singleton set | truncated source filename
Heavenly Host on Earth,6a679b386bb5de7ea717198a,Pair of Angels in Blue and Pink Robes,pair-of-angels-in-blue-and-pink-robes,1,PAIR OF ANGELS IN BLUE AND PINK ROBES,6a679b7fada99a788db167f1,s-in-blue-and-pink-robes,CMS Name,high,true,singleton set | truncated source filename
Heavenly Host on Earth,6a679b386bb5de7ea717198a,Saint Gabriel Archangel,saint-gabriel-archangel,1,SAINT GABRIEL ARCHANGEL,6a679b6a6bb5de7ea7174250,saint-gabriel-archangel,CMS Name,high,true,singleton set | truncated source filename
Heavenly Host on Earth,6a679b386bb5de7ea717198a,Saint Michael,saint-michael,1,SAINT MICHAEL,6a679b654b2acdc5299fffab,t-on-earth-saint-michael,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Heavenly Host on Earth,6a679b386bb5de7ea717198a,Saint Michael the Archangel,saint-michael-the-archangel,3,SAINT MICHAEL THE ARCHANGEL,6a679b5a6a0d5f994c3865b4 | 6a679b5ebd61fb1cdcd6a2ce | 6a679b620fb9b1f19aad97f0,michael-the-archangel-2 | nt-michael-the-archangel | t-michael-the-archangele,CMS Name,high,false,truncated source filename | potential near-duplicate set name within the same Gallery
Heavenly Host on Earth,6a679b386bb5de7ea717198a,Saint Raphael the Archangel,saint-raphael-the-archangel,1,SAINT RAPHAEL THE ARCHANGEL,6a679b748acb3b3a1417b233,nt-raphael-the-archangel,CMS Name,high,true,singleton set | truncated source filename
Heavenly Host on Earth,6a679b386bb5de7ea717198a,San Gabriel,san-gabriel,2,SAN GABRIEL,6a679b6dcb07e5125504f729 | 6a679b71ef3349cb653a85ee,ost-on-earth-san-gabriel | t-on-earth-san-gabriel-2,CMS Name,high,false,truncated source filename
Heavenly Host on Earth,6a679b386bb5de7ea717198a,San Miguel Image,san-miguel-image,1,SAN MIGUEL IMAGE,6a679b576a0d5f994c38643c,n-earth-san-miguel-image,CMS Name,high,true,singleton set | truncated source filename
Heavenly Host on Earth,6a679b386bb5de7ea717198a,San Rafael,san-rafael,1,SAN RAFAEL,6a679b7960c1167bb6bd4b68,host-on-earth-san-rafael,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Cathedra Petri,cathedra-petri,1,CATHEDRA PETRI,6a679cdfef3349cb653ae41d,en-of-god-cathedra-petri,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Anne,saint-anne,1,SAINT ANNE,6a679c76cb07e51255055263,women-of-god-saint-anne,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Anne Relief,saint-anne-relief,1,SAINT ANNE RELIEF,6a679c7ee4223da842e98998,of-god-saint-anne-relief,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
