gallery_slug,photo_name,photo_slug,source_filename,source_path,full_description,date_or_century,location,material,dimensions,museum_or_collection,institution_or_owner,accession_number,sort_order,parse_method,parse_warning,image_url,destination_url,alt_text,caption,open_in_new_tab,original_image_url,original_destination_url,original_filename
heavenly-host-on-earth,SAN MIGUEL IMAGE,heavenly-host-on-earth-san-miguel-image,008-DSC00186-scaled.jpg,../tod-gallery-images/heavenly-host-on-earth/008-DSC00186-scaled.jpg,"SAN MIGUEL IMAGE

ivory and wood

Height: 30cm

Archdiocesan Shrine of San Miguel Arcangel

Argao, Cebu

Accession no. APM-RO-SV-009",,"Argao, Cebu",ivory and wood,Height: 30cm,,Archdiocesan Shrine of San Miguel Arcangel,APM-RO-SV-009,1,parent_anchor_img+child_elementor_text_editor+attachment_metadata+label-and-pattern,,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC00186-scaled.jpg,https://thekabilincenter.org/san-miguel-image/,SAN MIGUEL IMAGE,,true,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC00186-768x1369.jpg,https://thekabilincenter.org/san-miguel-image/,DSC00186-768x1369.jpg
heavenly-host-on-earth,SAINT MICHAEL THE ARCHANGEL,heavenly-host-on-earth-saint-michael-the-archangele,009-DSC00967-scaled.jpg,../tod-gallery-images/heavenly-host-on-earth/009-DSC00967-scaled.jpg,"SAINT MICHAEL THE ARCHANGEL

Saint Michael Height: : 96.52cm

Archdiocesan Museum of Cebu

Cebu City

Accession no. AMC-RO-S-019",,Cebu City,,Saint Michael Height: : 96.52cm,Archdiocesan Museum of Cebu,,AMC-RO-S-019,2,parent_anchor_img+child_elementor_text_editor+attachment_metadata+label-and-pattern,,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC00976-scaled.jpg,https://thekabilincenter.org/saint-michael-the-archangele/,SAINT MICHAEL THE ARCHANGEL,,true,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC00967-768x1369.jpg,https://thekabilincenter.org/saint-michael-the-archangele/,DSC00967-768x1369.jpg
heavenly-host-on-earth,SAINT MICHAEL THE ARCHANGEL,heavenly-host-on-earth-saint-michael-the-archangel,010-DSC01148-scaled.jpg,../tod-gallery-images/heavenly-host-on-earth/010-DSC01148-scaled.jpg,"SAINT MICHAEL THE ARCHANGEL

Polychromed wood; metal helmet, shield & sword

Height: 62cm

Archdiocesan Shrine of San Miguel Arcangel

Argao, Cebu

Accession no. APM-RO-SV-070",,"Argao, Cebu","Polychromed wood; metal helmet, shield & sword",Height: 62cm,,Archdiocesan Shrine of San Miguel Arcangel,APM-RO-SV-070,3,parent_anchor_img+child_elementor_text_editor+attachment_metadata+label-and-pattern,,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC01152-scaled.jpg,https://thekabilincenter.org/saint-michael-the-archangel/,SAINT MICHAEL THE ARCHANGEL,,true,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC01148-768x1369.jpg,https://thekabilincenter.org/saint-michael-the-archangel/,DSC01148-768x1369.jpg
heavenly-host-on-earth,SAINT MICHAEL THE ARCHANGEL,heavenly-host-on-earth-saint-michael-the-archangel-2,011-DSC02122-2-1-scaled.jpg,../tod-gallery-images/heavenly-host-on-earth/011-DSC02122-2-1-scaled.jpg,"SAINT MICHAEL THE ARCHANGEL

Glass eyes

Height: 98cm

Saint Michael the Archangel Parish Church

Samboan , Cebu

Accession no. SIMPS-RO-SV-012",,"Samboan , Cebu",Glass eyes,Height: 98cm,,Saint Michael the Archangel Parish Church,SIMPS-RO-SV-012,4,parent_anchor_img+child_elementor_text_editor+attachment_metadata+label-and-pattern,,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC02133-scaled.jpg,https://thekabilincenter.org/saint-michael-the-archangel-2/,SAINT MICHAEL THE ARCHANGEL,,true,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC02122-2-1-768x1369.jpg,https://thekabilincenter.org/saint-michael-the-archangel-2/,DSC02122-2-1-768x1369.jpg
heavenly-host-on-earth,SAINT MICHAEL,heavenly-host-on-earth-saint-michael,017-DSC00234-scaled.jpg,../tod-gallery-images/heavenly-host-on-earth/017-DSC00234-scaled.jpg,"SAINT MICHAEL

De bulto

Polychromed wood with metallic monstrance and sword, verdun ring

Height: 222cm

Archdiocesan Shrine of San Miguel Arcangel

Argao, Cebu

Accession no. APM-RO-SV-021",,"Argao, Cebu","De bulto

Polychromed wood with metallic monstrance and sword, verdun ring",Height: 222cm,,Archdiocesan Shrine of San Miguel Arcangel,APM-RO-SV-021,5,parent_anchor_img+child_elementor_text_editor+attachment_metadata+label-and-pattern,,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC00234-scaled.jpg,https://thekabilincenter.org/saint-michael/,SAINT MICHAEL,,true,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC00234-768x1369.jpg,https://thekabilincenter.org/saint-michael/,DSC00234-768x1369.jpg
heavenly-host-on-earth,SAINT GABRIEL ARCHANGEL,heavenly-host-on-earth-saint-gabriel-archangel,018-DSC01700-scaled.jpg,../tod-gallery-images/heavenly-host-on-earth/018-DSC01700-scaled.jpg,"SAINT GABRIEL ARCHANGEL

Wood sculpture, glass eyes

Height:75cm

Saint Michael the Archangel Parish Church

Samboan , Cebu

Accession no. SMPS-RO-SV-003",,"Samboan , Cebu","Wood sculpture, glass eyes",Height:75cm,,Saint Michael the Archangel Parish Church,SMPS-RO-SV-003,6,parent_anchor_img+child_elementor_text_editor+attachment_metadata+label-and-pattern,,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC01719-2-scaled.jpg,https://thekabilincenter.org/saint-gabriel-archangel/,SAINT GABRIEL ARCHANGEL,,true,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC01700-768x1369.jpg,https://thekabilincenter.org/saint-gabriel-archangel/,DSC01700-768x1369.jpg
heavenly-host-on-earth,SAN GABRIEL,heavenly-host-on-earth-san-gabriel,019-1-DSC01341-scaled.jpg,../tod-gallery-images/heavenly-host-on-earth/019-1-DSC01341-scaled.jpg,"SAN GABRIEL

glass eyes, repainted with enamel

Height: 137cm

Saint Gabriel the Archangel Parish Church

Santander, Cebu

Accession no. SGA-S-RO-SV-003",,"Santander, Cebu","glass eyes, repainted with enamel",Height: 137cm,,Saint Gabriel the Archangel Parish Church,SGA-S-RO-SV-003,7,parent_anchor_img+child_elementor_text_editor+attachment_metadata+label-and-pattern,,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC01329-scaled.jpg,https://thekabilincenter.org/san-gabriel/,SAN GABRIEL,,true,https://thekabilincenter.org/wp-content/uploads/2023/10/1-DSC01341-768x1369.jpg,https://thekabilincenter.org/san-gabriel/,1-DSC01341-768x1369.jpg
heavenly-host-on-earth,SAN GABRIEL,heavenly-host-on-earth-san-gabriel-2,020-DSC00227-scaled.jpg,../tod-gallery-images/heavenly-host-on-earth/020-DSC00227-scaled.jpg,"SAN GABRIEL

De bulto

Height: 180cm

Archdiocesan Shrine of San Miguel Arcangel

Argao, Cebu

Accession no. APM-RO-SV-020",,"Argao, Cebu",De bulto,Height: 180cm,,Archdiocesan Shrine of San Miguel Arcangel,APM-RO-SV-020,8,parent_anchor_img+child_elementor_text_editor+attachment_metadata+label-and-pattern,,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC00279-scaled.jpg,https://thekabilincenter.org/san-gabriel-2/,SAN GABRIEL,,true,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC00227-768x1369.jpg,https://thekabilincenter.org/san-gabriel-2/,DSC00227-768x1369.jpg
heavenly-host-on-earth,SAINT RAPHAEL THE ARCHANGEL,heavenly-host-on-earth-saint-raphael-the-archangel,021-DSC01740-2-scaled.jpg,../tod-gallery-images/heavenly-host-on-earth/021-DSC01740-2-scaled.jpg,"SAINT RAPHAEL THE ARCHANGEL

Located at the altar

Wood sculpture, glass eyes

Height: 70cm

Saint Michael the Archangel Parish Church

Samboan , Cebu

Accession no. SMPS-RO-SV-002",,"Samboan , Cebu","Wood sculpture, glass eyes",Height: 70cm,,Saint Michael the Archangel Parish Church,SMPS-RO-SV-002,9,parent_anchor_img+child_elementor_text_editor+attachment_metadata+label-and-pattern,Unresolved description block(s): Located at the altar,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC01748-scaled.jpg,https://thekabilincenter.org/saint-raphael-the-archangel/,SAINT RAPHAEL THE ARCHANGEL,,true,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC01740-2-768x1369.jpg,https://thekabilincenter.org/saint-raphael-the-archangel/,DSC01740-2-768x1369.jpg
heavenly-host-on-earth,SAN RAFAEL,heavenly-host-on-earth-san-rafael,022-DSC00247-scaled.jpg,../tod-gallery-images/heavenly-host-on-earth/022-DSC00247-scaled.jpg,"SAN RAFAEL

De bulto

polychromed wood

Height: 197cm

Archdiocesan Shrine of San Miguel Arcangel

Argao, Cebu

Accession no. APM-RO-SV-022",,"Argao, Cebu","De bulto

polychromed wood",Height: 197cm,,Archdiocesan Shrine of San Miguel Arcangel,APM-RO-SV-022,10,parent_anchor_img+child_elementor_text_editor+attachment_metadata+label-and-pattern,,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC00263-scaled.jpg,https://thekabilincenter.org/san-rafael/,SAN RAFAEL,,true,https://thekabilincenter.org/wp-content/uploads/2023/10/DSC00247-768x1369.jpg,https://thekabilincenter.org/san-rafael/,DSC00247-768x1369.jpg
